,# of Dialysis Stations,Offers in-center hemodialysis,Offers in-center peritoneal dialysis,Offers home hemodialysis training,Percentage of Medicare patients with Hgb<10 g/dL,Percentage of Medicare patients with Hgb>12 g/dL,Number of Dialysis Patients with Hgb data,Percent of Adult HD patients with Kt/V >= 1.2,Percentage of Adult PD PTS with Kt/V >= 1.7,Percentage of Pediatric HD patients with Kt/V >= 1.2,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Percentage of pediatric PD patients with Kt/V>=1.8,Fistula Rate (Facility),Percentage of Adult patients with long term catheter in use,Percentage of pediatric HD patients with nPCR,Readmission Rate (Facility),Mortality Rate (Facility),risk_zone
6714,12,1,1,0,46.0,0.0,24.0,96.0,90.74918566775244,95.21428571428571,2.0,11.0,23.0,29.0,24.0,14.0,71.35483870967742,70.0,9.0,95.875,30.5,20.1,2
6715,0,0,1,0,17.60762331838565,0.22266298723697828,7.0,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6716,16,1,1,0,47.0,0.0,15.0,96.0,90.74918566775244,95.21428571428571,5.0,11.0,19.0,27.0,26.0,17.0,71.35483870967742,62.0,15.0,95.875,35.8,16.1,2
6717,33,1,1,1,26.0,0.0,35.0,99.0,97.0,95.21428571428571,1.0,9.0,22.0,24.0,29.0,16.0,71.35483870967742,79.0,13.0,95.875,29.6,25.3,1
6718,17,1,0,0,18.0,0.0,11.0,94.0,90.74918566775244,95.21428571428571,1.0,15.0,27.0,36.0,19.0,3.0,71.35483870967742,54.0,13.0,95.875,28.0,11.3,1
6719,15,1,0,0,32.0,0.0,19.0,89.0,90.74918566775244,95.21428571428571,0.0,8.0,26.0,31.0,23.0,12.0,71.35483870967742,73.0,14.0,95.875,35.5,24.0,2
6720,15,1,0,0,11.0,0.0,44.0,100.0,90.74918566775244,95.21428571428571,2.0,9.0,22.0,27.0,22.0,20.0,71.35483870967742,72.0,9.0,95.875,14.4,23.4,1
6721,25,1,0,0,1.0,0.0,67.0,97.0,90.74918566775244,95.21428571428571,1.0,13.0,26.0,25.0,23.0,13.0,71.35483870967742,70.0,8.0,95.875,31.9,20.9,2
6722,37,1,1,0,12.0,0.0,130.0,96.0,97.0,95.21428571428571,2.0,13.0,24.0,25.0,24.0,15.0,71.35483870967742,73.0,11.0,95.875,27.9,20.1,1
6723,12,1,1,0,17.60762331838565,0.22266298723697828,0.0,95.98320456835741,90.74918566775244,95.21428571428571,60.0,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,24.0,38.0,95.875,26.72686037126708,21.716423297785052,1
6724,16,1,0,1,17.60762331838565,0.22266298723697828,43.0,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6725,13,1,0,0,14.0,2.0,42.0,97.0,90.74918566775244,95.21428571428571,0.0,6.0,26.0,42.0,16.0,10.0,71.35483870967742,55.0,12.0,95.875,20.5,22.6,1
